date,open,close,high,low,volume,turnover,amplitude,change,change amount,turnover rate
2019-01-02,7.9,7.86,7.95,7.74,237628,229625669.0,2.64,-1.26,-0.1,0.08
2019-01-03,7.86,7.97,7.98,7.82,186543,181975985.0,2.04,1.4,0.11,0.07
2019-01-04,7.89,8.12,8.16,7.86,271728,268964560.0,3.76,1.88,0.15,0.1
2019-01-07,8.25,8.14,8.25,8.08,235974,235440197.0,2.09,0.25,0.02,0.08
2019-01-08,8.19,8.12,8.19,8.07,151049,150501650.0,1.47,-0.25,-0.02,0.05
2019-01-09,8.22,8.15,8.32,8.14,231637,233890281.0,2.22,0.37,0.03,0.08
2019-01-10,8.1,8.12,8.18,8.08,159236,158718755.0,1.23,-0.37,-0.03,0.06
2019-01-11,8.19,8.21,8.31,8.12,190691,191290102.0,2.34,1.11,0.09,0.07
2019-01-14,8.19,8.22,8.26,8.17,203528,204659052.0,1.1,0.12,0.01,0.07
2019-01-15,8.26,8.27,8.31,8.21,156321,158126136.0,1.22,0.61,0.05,0.06
2019-01-16,8.26,8.29,8.31,8.23,129883,131354721.0,0.97,0.24,0.02,0.05
2019-01-17,8.33,8.33,8.44,8.23,227660,232114667.0,2.53,0.48,0.04,0.08
2019-01-18,8.45,8.59,8.6,8.38,290871,300979120.0,2.64,3.12,0.26,0.1
2019-01-21,8.52,8.51,8.62,8.46,189478,196394076.0,1.86,-0.93,-0.08,0.07
2019-01-22,8.54,8.41,8.54,8.39,162506,167165417.0,1.76,-1.18,-0.1,0.06
2019-01-23,8.45,8.43,8.5,8.41,165203,170289907.0,1.07,0.24,0.02,0.06
2019-01-24,8.5,8.54,8.55,8.43,150067,155265972.0,1.42,1.3,0.11,0.05
2019-01-25,8.61,8.66,8.72,8.54,196966,206935398.0,2.11,1.41,0.12,0.07
2019-01-28,8.69,8.58,8.82,8.55,217691,229185387.0,3.12,-0.92,-0.08,0.08
2019-01-29,8.55,8.74,8.79,8.54,237680,250301612.0,2.91,1.86,0.16,0.08
2019-01-30,8.75,8.66,8.8,8.63,160543,169387635.0,1.95,-0.92,-0.08,0.06
2019-01-31,8.75,8.89,8.89,8.67,251310,267614893.0,2.54,2.66,0.23,0.09
2019-02-01,8.98,8.93,8.98,8.78,191193,204604273.0,2.25,0.45,0.04,0.07
2019-02-11,8.78,8.86,8.89,8.78,202166,215903077.0,1.23,-0.78,-0.07,0.07
2019-02-12,8.87,8.88,8.89,8.79,167696,179099038.0,1.13,0.23,0.02,0.06
2019-02-13,8.9,9.02,9.09,8.84,302487,325845952.0,2.82,1.58,0.14,0.11
2019-02-14,9.01,8.98,9.07,8.96,198153,215023175.0,1.22,-0.44,-0.04,0.07
2019-02-15,8.94,8.82,9.01,8.82,177588,190960435.0,2.12,-1.78,-0.16,0.06
2019-02-18,8.91,9.0,9.03,8.86,201022,217621153.0,1.93,2.04,0.18,0.07
2019-02-19,9.01,8.96,9.12,8.94,259527,281465136.0,2.0,-0.44,-0.04,0.09
2019-02-20,9.08,8.99,9.08,8.97,222863,242111573.0,1.23,0.33,0.03,0.08
2019-02-21,8.99,8.95,9.09,8.91,254024,275374192.0,2.0,-0.44,-0.04,0.09
2019-02-22,8.92,9.17,9.17,8.92,259074,281913760.0,2.79,2.46,0.22,0.09
2019-02-25,9.19,10.08,10.11,9.19,937123,1075040672.0,10.03,9.92,0.91,0.33
2019-02-26,10.07,9.81,10.31,9.76,836433,990289728.0,5.46,-2.68,-0.27,0.3
2019-02-27,9.87,9.99,10.23,9.83,712016,843023424.0,4.08,1.83,0.18,0.25
2019-02-28,9.99,9.9,10.08,9.84,393934,464139456.0,2.4,-0.9,-0.09,0.14
2019-03-01,9.97,10.18,10.22,9.76,632546,747753344.0,4.65,2.83,0.28,0.23
2019-03-04,10.28,10.18,10.54,10.11,850248,1030561504.0,4.22,0.0,0.0,0.3
2019-03-05,10.17,10.14,10.2,10.03,545642,652552208.0,1.67,-0.39,-0.04,0.19
2019-03-06,10.15,10.18,10.31,10.02,536932,644243056.0,2.86,0.39,0.04,0.19
2019-03-07,10.19,10.04,10.2,10.03,526188,628390864.0,1.67,-1.38,-0.14,0.19
2019-03-08,9.88,9.66,9.88,9.52,526705,609490592.0,3.59,-3.78,-0.38,0.19
2019-03-11,9.6,9.63,9.75,9.52,399220,457056512.0,2.38,-0.31,-0.03,0.14
2019-03-12,9.75,9.6,9.85,9.56,522118,602940688.0,3.01,-0.31,-0.03,0.19
2019-03-13,9.57,9.6,9.72,9.46,413730,472974752.0,2.71,0.0,0.0,0.15
2019-03-14,9.62,9.62,9.74,9.59,343379,395468496.0,1.56,0.21,0.02,0.12
2019-03-15,9.63,9.59,9.76,9.59,337693,388244480.0,1.77,-0.31,-0.03,0.12
2019-03-18,9.61,9.75,9.76,9.53,438796,503915216.0,2.4,1.67,0.16,0.16
2019-03-19,9.79,9.71,9.83,9.67,275002,318521472.0,1.64,-0.41,-0.04,0.1
2019-03-20,9.68,9.71,9.8,9.65,273254,315587216.0,1.54,0.0,0.0,0.1
2019-03-21,9.72,9.62,9.75,9.6,350370,403573248.0,1.54,-0.93,-0.09,0.12
2019-03-22,9.65,9.55,9.67,9.47,354364,403972784.0,2.08,-0.73,-0.07,0.13
2019-03-25,9.44,9.19,9.45,9.17,577166,642860112.0,2.93,-3.77,-0.36,0.21
2019-03-26,9.27,9.25,9.3,9.19,307957,341425280.0,1.2,0.65,0.06,0.11
2019-03-27,9.27,9.24,9.4,9.2,421245,469246320.0,2.16,-0.11,-0.01,0.15
2019-03-28,9.19,9.19,9.21,9.06,292961,321585856.0,1.62,-0.54,-0.05,0.1
2019-03-29,9.14,9.44,9.46,9.14,605263,678436544.0,3.48,2.72,0.25,0.22
2019-04-01,9.52,9.6,9.68,9.45,706374,808657536.0,2.44,1.69,0.16,0.25
2019-04-02,9.66,9.6,9.68,9.57,467147,534896816.0,1.15,0.0,0.0,0.17
2019-04-03,9.53,9.66,9.7,9.5,502710,575799440.0,2.08,0.63,0.06,0.18
2019-04-04,9.71,9.87,9.87,9.7,752325,876099552.0,1.76,2.17,0.21,0.27
2019-04-08,9.95,9.88,10.12,9.81,778704,920513536.0,3.14,0.1,0.01,0.28
2019-04-09,9.88,9.7,9.91,9.65,568960,660406224.0,2.63,-1.82,-0.18,0.2
2019-04-10,9.66,9.64,9.72,9.58,410275,470666656.0,1.44,-0.62,-0.06,0.15
2019-04-11,9.63,9.63,9.75,9.51,501728,575765344.0,2.49,-0.1,-0.01,0.18
2019-04-12,9.63,9.65,9.72,9.59,262737,301752032.0,1.35,0.21,0.02,0.09
2019-04-15,9.83,9.63,9.93,9.62,705092,823853440.0,3.21,-0.21,-0.02,0.25
2019-04-16,9.62,10.11,10.15,9.59,1006654,1188260128.0,5.82,4.98,0.48,0.36
2019-04-17,10.12,10.07,10.25,10.04,681572,816127040.0,2.08,-0.4,-0.04,0.24
2019-04-18,10.07,10.07,10.21,10.0,430490,513835264.0,2.09,0.0,0.0,0.15
2019-04-19,10.17,10.17,10.36,10.02,560130,672739664.0,3.38,0.99,0.1,0.2
2019-04-22,10.18,9.87,10.23,9.84,533894,631192352.0,3.83,-2.95,-0.3,0.19
2019-04-23,9.84,9.86,9.96,9.79,338477,396659664.0,1.72,-0.1,-0.01,0.12
2019-04-24,9.92,9.78,9.93,9.67,382011,444929312.0,2.64,-0.81,-0.08,0.14
2019-04-25,9.72,9.7,9.85,9.64,408761,473973520.0,2.15,-0.82,-0.08,0.15
2019-04-26,9.59,9.48,9.72,9.44,424696,485267264.0,2.89,-2.27,-0.22,0.15
2019-04-29,9.51,9.64,9.7,9.5,385869,442046720.0,2.11,1.69,0.16,0.14
2019-04-30,9.86,10.13,10.25,9.86,1234747,1466714704.0,4.05,5.08,0.49,0.44
2019-05-06,9.91,9.96,10.02,9.7,1245454,1460217056.0,3.16,-1.68,-0.17,0.44
2019-05-07,9.98,9.96,10.1,9.76,854899,1010271120.0,3.41,0.0,0.0,0.3
2019-05-08,9.8,9.67,9.94,9.65,585001,677487376.0,2.91,-2.91,-0.29,0.21
2019-05-09,9.64,9.28,9.72,9.26,641280,722119104.0,4.76,-4.03,-0.39,0.23
2019-05-10,9.39,9.48,9.58,9.22,485507,548884304.0,3.88,2.16,0.2,0.17
2019-05-13,9.36,9.47,9.56,9.31,402850,455643056.0,2.64,-0.11,-0.01,0.14
2019-05-14,9.34,9.37,9.6,9.33,418890,473151520.0,2.85,-1.06,-0.1,0.15
2019-05-15,9.44,9.48,9.58,9.39,344045,389533440.0,2.03,1.17,0.11,0.12
2019-05-16,9.44,9.46,9.52,9.38,341418,385015232.0,1.48,-0.21,-0.02,0.12
2019-05-17,9.48,9.4,9.51,9.36,383998,433108016.0,1.59,-0.63,-0.06,0.14
2019-05-20,9.44,9.5,9.6,9.41,349044,396448400.0,2.02,1.06,0.1,0.12
2019-05-21,9.49,9.48,9.61,9.47,329759,374972624.0,1.47,-0.21,-0.02,0.12
2019-05-22,9.48,9.32,9.5,9.28,400004,447828816.0,2.32,-1.69,-0.16,0.14
2019-05-23,9.28,9.26,9.31,9.11,363127,401709184.0,2.15,-0.64,-0.06,0.13
2019-05-24,9.33,9.27,9.38,9.16,241603,269312448.0,2.38,0.11,0.01,0.09
2019-05-27,9.25,9.38,9.42,9.12,350879,390018816.0,3.24,1.19,0.11,0.12
2019-05-28,9.35,9.45,9.46,9.18,722781,809741248.0,2.99,0.75,0.07,0.26
2019-05-29,9.33,9.28,9.45,9.23,408610,455620576.0,2.33,-1.8,-0.17,0.15
2019-05-30,9.34,9.27,9.34,9.19,266500,295267456.0,1.62,-0.11,-0.01,0.09
2019-05-31,9.27,9.29,9.39,9.21,369767,412819776.0,1.94,0.22,0.02,0.13
2019-06-03,9.33,9.44,9.45,9.29,304921,342326272.0,1.72,1.61,0.15,0.11
2019-06-04,9.45,9.51,9.53,9.42,250774,283826816.0,1.17,0.74,0.07,0.09
2019-06-05,9.59,9.57,9.68,9.51,314236,359479712.0,1.79,0.63,0.06,0.11
2019-06-06,9.67,9.63,9.67,9.54,264272,303162736.0,1.36,0.63,0.06,0.09
2019-06-10,9.73,9.77,9.86,9.69,431838,502599184.0,1.77,1.45,0.14,0.15
2019-06-11,9.86,9.93,9.96,9.78,522662,594464064.0,1.84,1.64,0.16,0.19
2019-06-12,9.93,10.11,10.21,9.91,506352,584680928.0,3.02,1.81,0.18,0.18
2019-06-13,10.08,10.21,10.3,10.01,469660,548220000.0,2.87,0.99,0.1,0.17
2019-06-14,10.25,10.3,10.38,10.22,473852,558641888.0,1.57,0.88,0.09,0.17
2019-06-17,10.29,10.28,10.43,10.26,352201,416594832.0,1.65,-0.19,-0.02,0.13
2019-06-18,10.33,10.33,10.41,10.23,289651,341904864.0,1.75,0.49,0.05,0.1
2019-06-19,10.55,10.39,10.58,10.32,449277,537339840.0,2.52,0.58,0.06,0.16
2019-06-20,10.46,10.71,10.83,10.36,716475,869024544.0,4.52,3.08,0.32,0.25
2019-06-21,10.69,10.6,10.81,10.54,553812,670759376.0,2.52,-1.03,-0.11,0.2
2019-06-24,10.6,10.54,10.64,10.47,341953,411172368.0,1.6,-0.57,-0.06,0.12
2019-06-25,10.49,10.17,10.49,10.02,803594,940465136.0,4.46,-3.51,-0.37,0.29
2019-06-26,10.07,10.17,10.24,10.06,369732,431115056.0,1.77,0.0,0.0,0.13
2019-06-27,10.19,10.15,10.35,10.06,479978,561472048.0,2.85,-0.2,-0.02,0.17
2019-06-28,10.18,10.19,10.19,10.05,295452,343056320.0,1.38,0.39,0.04,0.11
2019-07-01,10.37,10.22,10.43,10.2,548879,646405200.0,2.26,0.29,0.03,0.2
2019-07-02,10.23,10.12,10.25,10.08,511657,595072192.0,1.66,-0.98,-0.1,0.18
2019-07-03,10.13,10.07,10.14,10.02,365671,422580464.0,1.19,-0.49,-0.05,0.13
2019-07-04,10.12,10.13,10.18,10.08,303692,352968336.0,0.99,0.6,0.06,0.11
